Dataset including locations of surface slope breaks displaced upstream from flexural grounding line
Column 1: x-position (meters) on South Polar stereographic projection
Column 2: y-position (meters) on South Polar stereographic projection
Column 3: Displacement (meters) of surface slope break (Ib) from flexural grounding line (F)

x(m),y(m),displacement(m)
-2282583.32466015,1111989.91634999,786.656474643946
-2282736.92344743,1111974.56049764,568.416440427044
-2210441.80850505,1026437.60220505,2588.13819227588
-2329864.71411684,1176767.39462824,6197.50377469967
-2329999.58201173,1176767.39502569,6049.81187405763
-2320657.44027913,1176930.38479875,1619.17436890009
-2330176.56007901,1176782.8751933,5735.20096645082
-2232631.84437568,1049049.66491943,2492.74297751202
-2315596.80750511,1178632.92429787,4752.34844368523
-2320773.06944313,1176922.92538555,1304.69721681672
-2118940.47584353,996106.934996513,68.9628198817196
-2291864.19557792,1108272.34715866,524.038654739462
-2291626.42241275,1108232.6763525,385.314463268055
-2285961.14201285,1108613.43470283,19.4939848624505
-2313258.91529939,1135678.59256689,96.4829781034709
-2282247.42158902,1115809.50749625,1075.42656711212
-2271761.87843608,1065757.19167946,264.804331191454
-2271643.03821739,1065667.48235033,261.145621662864
-2297715.99483456,1129647.06182569,236.876483139442
-2271677.07831141,1065629.13381302,208.643875487332
-2280541.75446844,1118698.72149867,364.3459333082
-2280702.75060699,1118746.63315869,3110.31705998643
-2070751.77006924,1023847.40204351,1506.13546985405
-2104098.6665879,1005876.08340106,1154.19710369501
-2106016.34846548,1010095.93028312,2016.67711054134
-2212157.74723474,1030671.92972778,100.87752530163
-2106735.97454201,1003144.79890745,588.265886135578
-2106503.86202769,1003017.51514555,349.206573005607
-2213101.94262138,1027363.62216643,2975.69886790188
-2018740.78612725,1028776.76073951,919.780144725227
-2307973.97554755,1197721.36517325,169.180869653136
-2308014.71078657,1197805.64638476,206.219180676431
-2179898.20797458,1003370.41161416,396.279841385522
-2179838.71954351,1003390.75124574,334.063055123316
-2304236.01213424,1246193.77190887,795.237677712888
-2123125.31281256,1049466.10773938,91.1403436647693
-2304223.17178009,1246229.49608088,767.353812131297
-2245157.43304715,1022253.07734995,336.606241790968
-2017979.24688785,1066751.18532651,0
-2123015.20141649,1049476.62065361,24.4188002622205
-2305493.33857491,1243071.885323,452.888543049616
-2159460.29631703,995533.022223528,4685.92306878419
-2213475.89139025,1023945.82683853,908.281629500173
-2305508.79488419,1242979.30641259,364.236702668333
-2123952.07273064,1038592.50152118,983.295877803199
-2305585.45907163,1243059.73365838,391.45450256109
-2303258.01319109,1280413.41201916,95.1299649151748
-2159468.48618118,995481.744409555,7279.63673784378
-2303202.68789501,1280440.69901294,1455.64346636718
-2303222.165908,1280499.17709029,1401.41635632453
-2213200.12155778,1023664.24996898,759.246723987134
-2113154.39056086,1045998.82684605,3039.05530538221
-2325232.69729112,1256680.298457,1501.62005086503
-2232220.07381036,1045331.84557171,3239.49702979596
-2322528.77053478,1221791.34840281,982.37190979989
-2322655.70882368,1221928.50291913,747.455415589317
-2111630.83522274,1041873.36871605,5945.60625481873
-2284073.48545002,1223871.44440189,780.888541197269
-2325270.7754818,1256590.10602846,1718.94148297687
-2214864.55841507,1024682.37434614,1822.9915438009
-2304454.06996579,1246268.75114724,245.10348612788
-2214787.97640983,1024691.92672986,1724.10773304797
-2299060.47704188,1238486.51482736,192.778662380825
-2325212.88281864,1256602.38115967,1702.87201185054
-2303194.06852313,1284186.53649091,1887.15490088432
-2302875.89280192,1284002.92799686,2438.82423927027
-2159835.98189789,995651.718761306,5311.98471855679
-2294595.67837614,1276840.82166095,81.8443426376763
-2184654.32223455,1002250.85419294,5489.70118093662
-2299236.73972845,1238551.85558352,167.90552750686
-2303174.07818331,1284076.90997835,2014.63145059082
-2283060.65106948,1227316.47140331,1364.56030342774
-2298940.93269399,1247791.04567355,136.29087434746
-2113800.60323051,1076504.46107285,0.51756270010346
-2304566.61659301,1259017.99596742,334.326666917682
-2305383.26292237,1242823.46127591,310.213845416868
-2123126.21658387,1042337.46132878,2285.60471063094
-2325451.09998158,1209627.4882726,358.924988934456
-2282247.14248497,1115697.61552376,2943.53466768068
-2123091.7118349,1042375.03810404,2311.5659788863
-2319687.00652643,1248555.76042913,531.229420709028
-2319651.38732295,1248642.47216175,379.64204896104
-2228197.86797011,1019983.9791375,4737.1926231393
-1987371.5232055,1048249.61030303,372.421088018865
-2124039.9754179,1038522.93483724,1374.70385844236
-2122569.30587834,1045729.83740173,855.260887828321
-1976690.58541874,1043795.10310335,204.967418089441
-2018649.97607109,1028826.91217057,778.996511204585
-2377014.44404417,1265993.41563161,2303.8587539457
-2122622.97905591,1045698.29937191,834.194846472707
-2319008.36194529,1261229.91954167,2002.99466042866
-2305221.77525474,1261261.45000472,1847.05877868002
-2115536.06136039,1073586.23977224,98.9258763125365
-2241291.97241073,1023996.04131485,223.474140599482
-2123986.54364998,1038554.42626751,1094.80422445628
-2318860.63241481,1261270.63264679,3023.01484009413
-2304978.72600272,1261032.58585357,1777.87085714403
-2232262.94954215,1045394.0420076,5272.42199658102
-2104046.67198391,1076626.41087852,299.229157453089
-2115664.14756076,1073584.66184085,125.119072006844
-2303669.03623082,1258753.98250818,580.111910391926
-2264701.47870397,1064483.570342,54.2663812262573
-2112427.87070635,1079656.61320209,46.5726651929316
-2264694.13898349,1064533.68257206,0
-2066618.27776449,1019359.84868776,1546.4295009888
-2123770.70074779,1034895.14304973,4918.15162671562
-2008803.82881607,1067295.10456882,5387.87743119617
-2002433.84996313,1050464.28142017,1798.9602103591
-2305249.8970971,1257171.17195165,1296.81573225247
-2001946.78728349,1050183.79243834,713.076925237627
-2281956.15761593,1265260.5817393,45.4980414275238
-2305160.85905454,1257051.44522929,1772.84516355601
-2289471.58228185,1185317.05658136,1580.12357630798
-2317708.25177571,1242577.50803846,57.9872621748126
-2324546.03117316,1217245.14799955,2006.34588737841
-2305220.94848745,1257036.27380576,1393.07236620882
-2288232.14976456,1188639.98901665,380.489091625232
-2314344.62376138,1263555.62947895,2436.18979794258
-2314205.7389,1263401.13740335,2469.73502658101
-2323269.02308833,1269766.90656056,2661.24712449482
-2328083.9253788,1233878.90080797,4.05985588111382
-2314497.72367355,1263548.95387274,3912.57626142984
-2117219.84936077,1069865.49015678,3418.65216849507
-2328044.94908707,1233811.92024024,77.9519919469688
